,אזור המכירה:,בעלות נוכחית,בעלות קודמת,זיהום מירבי,טסט עד,יד,מוכן להחלפה,מותאם לנכים,סוג,סוג מנוע,סמ״ק,צבע,קילומטראז',שנה,תאריך עליה לכביש,תיבת הילוכים,שם הסוכנות:,מחיר
3196,רחובות,פרטית,פרטית,NaN,12/2022,4,לא,לא,סוזוקי איגניס,בנזין,1328,אפור,"203,360",2002,,אוטומט,,"5,950 ₪"
3197,גבעתיים,פרטית,פרטית,12,07/2022,3,כן,לא,אאודי A1,בנזין,1390,קרם,"158,000",2011,11/2011,אוטומט,,"40,700 ₪"
3198,טמרה,פרטית,,1,04/2023,0,לא,לא,מרצדס CLA,היברידי חשמל / בנזין,1332,שחור מטאלי,,2021,11/2021,אוטומט,בילאל,לא צוין מחיר
3199,קרית עקרון,פרטית,פרטית,15,09/2022,3,כן,לא,פורד S-מקס,בנזין,1999,כחול כהה מטאלי,"110,000",2013,08/2013,אוטומט,,"30,000 ₪"
3200,רמלה,פרטית,,15,,1,לא,לא,קאדילק XT5,בנזין,1997,אפור מטאלי,"18,000",2021,01/2021,אוטומט,,"295,000 ₪"
3201,נהריה,פרטית,פרטית,3,01/2022,2,לא,לא,יונדאי סונטה הייבריד,בנזין,1999,שחור,"80,000",2018,01/2018,אוטומט,,"115,000 ₪"
3202,חיפה,פרטית,פרטית,NaN,06/2022,2,לא,לא,מאזדה 323 לאנטיס,בנזין,1598,ירוק בקבוק,"179,000",2000,10/2000,אוטומט,,"5,000 ₪"
3203,ג'וליס,פרטית,פרטית,7,,2,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,כסוף מטאלי,"160,000",2018,08/2018,אוטומט,,"84,000 ₪"
3204,חיפה,פרטית,פרטית,12,12/2022,2,לא,לא,סקודה סופרב (עד 2019),בנזין,1984,אפור מטאלי,"178,000",2016,12/2016,אוטומט,עמית אלון חברה לרכב ונכסים בעמ,"127,900 ₪"
3205,בת ים,פרטית,פרטית,14,09/2022,3,כן,לא,סיאט לאון,בנזין,1395,שחור מטאלי,"67,000",2015,10/2015,ידנית,Eden Car,1200 ₪ לחודש
3206,ראשון לציון,פרטית,,15,07/2022,0,כן,לא,שברולט קאמארו,בנזין,6162,כסוף,,2021,07/2021,אוטומט,טרייד אין אי אר תחבורה בעמ,לא צוין מחיר
3207,נתניה,פרטית,,8,07/2022,1,כן,לא,פיאט 500,בנזין,1368,שחור מטאלי,"112,000",2011,07/2011,רובוטית,buy&go בי אנד גו סוכנות רכב,לא צוין מחיר
3208,חיפה,ליסינג,,14,07/2022,1,כן,לא,אופל אסטרה,בנזין,1364,אדום,"97,000",2014,07/2014,אוטומט,טרייד אין קאר,"33,900 ₪"
3209,ראשון לציון,פרטית,,15,05/2022,1,כן,לא,וולוו S60,בנזין,1595,כסוף,"145,000",2013,05/2013,אוטומט,אוטו שי,לא צוין מחיר
3210,תל אביב יפו,פרטית,,11,,0,כן,לא,מאזדה 3,בנזין,1998,שחור,,2021,08/2021,אוטומט,קפיטל מוטורס,1662 ₪ לחודש
3211,נתניה,פרטית,,8,02/2022,1,כן,לא,רנו קליאו דור 4 (2013-2019),בנזין,1197,לבן,"139,000",2016,02/2016,אוטומט,א.א מוטורס,לא צוין מחיר
3212,חיפה,פרטית,פרטית,15,02/2022,4,כן,לא,אאודי RS3,בנזין,2480,לבן מטאלי,"57,000",2019,02/2019,אוטומט,מרכז הרכב,"335,000 ₪"
3213,רמלה,פרטית,,11,07/2022,0,לא,לא,מאזדה 3,בנזין,1998,שחור מטאלי,,2021,07/2021,אוטומט,מכוניות גור,1700 ₪ לחודש
3214,ראשון לציון,פרטית,,14,03/2022,1,לא,לא,סיאט לאון,בנזין,1798,לבן,"137,000",2017,03/2017,אוטומט,אהרוני קאר,לא צוין מחיר
3215,חיפה,פרטית,פרטית,15,12/2022,4,כן,לא,ב.מ.וו סדרה 6,בנזין,4799,לבן מטאלי,"132,000",2010,12/2010,אוטומט,מרכז הרכב,"135,000 ₪"
3216,פתח תקווה,חברה,,2,01/2023,1,לא,לא,ב.מ.וו סדרה 3,בנזין,1998,לבן מטאלי,,2022,,אוטומט,B2M פרימיום קאר,לא צוין מחיר
3217,פתח תקווה,פרטית,,14,,1,כן,לא,יונדאי i35,בנזין,1591,לבן שנהב,"132,000",2015,02/2015,אוטומט,כלמוטורס,"54,900 ₪"
3218,פתח תקווה,פרטית,,2,,1,כן,לא,טויוטה קורולה,בנזין,1798,לבן,"16,000",2021,05/2021,אוטומט,פרפקט קאר,"128,000 ₪"
3219,קדימה צורן,פרטית,פרטית,14,05/2022,2,כן,לא,פולקסווגן פאסאט,בנזין,1798,אפור מטאלי,"105,000",2016,05/2016,אוטומט,אדיר קאר,"89,000 ₪"
3220,בת ים,פרטית,,4,08/2022,1,כן,לא,לקסוס IS300h,בנזין,2494,כסוף,"120,000",2018,08/2018,אוטומט,yes car,"149,500 ₪"
3221,ראשון לציון,פרטית,,3,06/2022,1,כן,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"210,000",2017,06/2017,אוטומט,אוטו שי,לא צוין מחיר
3222,מודיעין מכבים רעות,פרטית,פרטית,13,10/2022,2,לא,לא,שברולט מאליבו,בנזין,1490,כחול כהה מטאלי,"93,000",2016,10/2016,אוטומט,,"60,000 ₪"
3223,ראשון לציון,פרטית,פרטית,11,01/2022,2,לא,לא,מאזדה 3,בנזין,1998,לבן פנינה,"15,000",2021,01/2021,אוטומט,,"137,000 ₪"
3224,ירושלים,פרטית,ליסינג,NaN,08/2022,3,לא,לא,סוזוקי ליאנה,בנזין,1586,לבן פנינה,"170,000",2006,08/2006,אוטומט,,"5,600 ₪"
3225,יבנה,פרטית,פרטית,11,06/2022,4,לא,לא,סיאט איביזה,בנזין,1197,לבן,"157,000",2013,,אוטומט,,"37,000 ₪"
3226,חדרה,פרטית,,1,12/2024,1,לא,לא,טסלה מודל 3,חשמלי,,לבן פנינה,800,2021,12/2021,אוטומט,,"210,000 ₪"
3227,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,סיטרואן C4,בנזין,1598,לבן,"71,000",2012,07/2012,אוטומט,,"22,000 ₪"
3228,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,ג'יפ / Jeep רנגלר ארוך,בנזין,3604,חום מטאלי,"45,000",2019,07/2019,אוטומט,,"310,000 ₪"
3229,ירושלים,פרטית,,15,11/2022,1,לא,לא,טויוטה אוונסיס,בנזין,1998,אפור מטאלי,"185,750",2006,,אוטומט,,"12,000 ₪"
3230,רחובות,פרטית,פרטית,NaN,12/2022,4,לא,לא,סוזוקי איגניס,בנזין,1328,אפור,"203,360",2002,,אוטומט,,"5,950 ₪"
3231,גבעתיים,פרטית,פרטית,12,07/2022,3,כן,לא,אאודי A1,בנזין,1390,קרם,"158,000",2011,11/2011,אוטומט,,"40,700 ₪"
3232,קרית עקרון,פרטית,פרטית,15,09/2022,3,כן,לא,פורד S-מקס,בנזין,1999,כחול כהה מטאלי,"110,000",2013,08/2013,אוטומט,,"30,000 ₪"
3233,רמלה,פרטית,,15,,1,לא,לא,קאדילק XT5,בנזין,1997,אפור מטאלי,"18,000",2021,01/2021,אוטומט,,"295,000 ₪"
3234,נהריה,פרטית,פרטית,3,01/2022,2,לא,לא,יונדאי סונטה הייבריד,בנזין,1999,שחור,"80,000",2018,01/2018,אוטומט,,"115,000 ₪"
3235,חולון,פרטית,פרטית,15,03/2022,3,לא,לא,אאודי Q5,בנזין,1984,שחור מטאלי,"110,000",2015,06/2015,אוטומט,אוטו טרייד,לא צוין מחיר
3236,חיפה,פרטית,פרטית,NaN,06/2022,2,לא,לא,מאזדה 323 לאנטיס,בנזין,1598,ירוק בקבוק,"179,000",2000,10/2000,אוטומט,,"5,000 ₪"
3237,ג'וליס,פרטית,פרטית,7,,2,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,כסוף מטאלי,"160,000",2018,08/2018,אוטומט,,"84,000 ₪"
3238,ראש העין,פרטית,פרטית,9,03/2022,2,לא,לא,סוזוקי ספלאש,בנזין,1242,לבן מטאלי,"68,000",2014,03/2014,אוטומט,,"35,000 ₪"
3239,מודיעין מכבים רעות,פרטית,,14,12/2022,1,לא,לא,וולוו V40 קרוס קאנטרי,בנזין,1969,שחור,"42,800",2019,01/2019,אוטומט,,"147,000 ₪"
3240,שפרעם,פרטית,פרטית,14,12/2022,3,לא,לא,סקודה אוקטביה,בנזין,1197,כסף מטלי,"134,000",2011,12/2011,אוטומט,,"30,000 ₪"
3241,רמלה,פרטית,,11,07/2022,0,לא,לא,מאזדה 3,בנזין,1998,שחור מטאלי,,2021,07/2021,אוטומט,מכוניות גור,1700 ₪ לחודש
3242,חיפה,פרטית,פרטית,15,12/2022,4,כן,לא,ב.מ.וו סדרה 6,בנזין,4799,לבן מטאלי,"132,000",2010,12/2010,אוטומט,מרכז הרכב,"135,000 ₪"
3243,פתח תקווה,פרטית,,14,,1,כן,לא,יונדאי i35,בנזין,1591,לבן שנהב,"132,000",2015,02/2015,אוטומט,כלמוטורס,"54,900 ₪"
3244,קדימה צורן,פרטית,פרטית,14,05/2022,2,כן,לא,פולקסווגן פאסאט,בנזין,1798,אפור מטאלי,"105,000",2016,05/2016,אוטומט,אדיר קאר,"89,000 ₪"
3245,ראשון לציון,פרטית,,3,06/2022,1,כן,לא,טויוטה אוריס הייבריד,בנזין,1798,לבן,"210,000",2017,06/2017,אוטומט,אוטו שי,לא צוין מחיר
3246,תל אביב יפו,פרטית,,15,02/2022,1,כן,לא,אאודי Q5,בנזין,1984,לבן,"56,000",2017,02/2017,אוטומט,איציק,"152,900 ₪"
3247,ראשון לציון,ליסינג,,9,08/2022,1,לא,לא,קיה סטוניק,בנזין,998,לבן,,2021,08/2021,אוטומט,בלו סקאי סניף מרכז,לא צוין מחיר
3248,רחובות,פרטית,פרטית,15,12/2021,2,כן,לא,סקודה אוקטביה,בנזין,1197,חום מטאלי,"130,000",2014,11/2014,אוטומט,פרייבט קאר,"47,000 ₪"
3249,נתניה,ייבוא מקביל,,15,,0,כן,לא,טויוטה סופרה,בנזין,2998,שחור,,2021,,אוטומט,4 גלגלים,לא צוין מחיר
3250,ראשון לציון,פרטית,,NaN,,0,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,שחור,,2021,,אוטומט,א.מ.מ משלי רכבי יוקרה,"384,900 ₪"
3251,ראשון לציון,פרטית,,13,04/2022,1,כן,לא,קיה סיד / CEED,דיזל,1582,לבן,"55,000",2016,04/2016,אוטומט,"קליק טרייד רכב בע""מ","52,000 ₪"
3252,נתניה,פרטית,ליסינג,14,12/2021,2,כן,לא,סקודה ראפיד,בנזין,1395,אפור עכבר,"160,000",2015,11/2015,אוטומט,בונים הצלחות,650 ₪ לחודש
3253,ירושלים,פרטית,ליסינג,11,08/2022,2,כן,לא,טויוטה קורולה,בנזין,1598,שחור מטאלי,"89,000",2018,08/2018,אוטומט,ישראל דניאל,"85,000 ₪"
3254,נתניה,פרטית,ליסינג,15,12/2021,2,לא,לא,פורד פוקוס,בנזין,1596,לבן,"148,000",2012,10/2012,אוטומט,סנטר קאר סוכניות,"16,900 ₪"
3255,חיפה,פרטית,ליסינג,15,02/2022,3,כן,לא,סקודה אוקטביה,בנזין,1197,שחור,"149,000",2014,02/2014,אוטומט,רכב קליל,"48,500 ₪"
3256,רמלה,פרטית,ליסינג,13,06/2022,2,לא,לא,קיה סיד / CEED,בנזין,1591,אפור עכבר,"143,000",2017,06/2017,אוטומט,דיל הרכב,"49,000 ₪"
3257,חיפה,פרטית,פרטית,14,05/2022,3,כן,לא,מרצדס CLA,בנזין,1595,לבן,"144,000",2016,05/2016,אוטומט,נקסט קאר,"139,900 ₪"
3258,ראשון לציון,פרטית,ליסינג,14,12/2021,2,כן,לא,סיטרואן C4 פיקאסו,בנזין,1598,תכלת,"109,000",2015,06/2015,אוטומט,"קליק טרייד רכב בע""מ","41,900 ₪"
3259,יבנה,פרטית,פרטית,11,06/2022,4,לא,לא,סיאט איביזה,בנזין,1197,לבן,"157,000",2013,,אוטומט,,"37,000 ₪"
3260,חדרה,פרטית,,1,12/2024,1,לא,לא,טסלה מודל 3,חשמלי,,לבן פנינה,800,2021,12/2021,אוטומט,,"210,000 ₪"
3261,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,סיטרואן C4,בנזין,1598,לבן,"71,000",2012,07/2012,אוטומט,,"22,000 ₪"
3262,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,ג'יפ / Jeep רנגלר ארוך,בנזין,3604,חום מטאלי,"45,000",2019,07/2019,אוטומט,,"310,000 ₪"
3263,ירושלים,פרטית,,15,11/2022,1,לא,לא,טויוטה אוונסיס,בנזין,1998,אפור מטאלי,"185,750",2006,,אוטומט,,"12,000 ₪"
3264,רחובות,פרטית,פרטית,NaN,12/2022,4,לא,לא,סוזוקי איגניס,בנזין,1328,אפור,"203,360",2002,,אוטומט,,"5,950 ₪"
3265,גבעתיים,פרטית,פרטית,12,07/2022,3,כן,לא,אאודי A1,בנזין,1390,קרם,"158,000",2011,11/2011,אוטומט,,"40,700 ₪"
3266,קרית עקרון,פרטית,פרטית,15,09/2022,3,כן,לא,פורד S-מקס,בנזין,1999,כחול כהה מטאלי,"110,000",2013,08/2013,אוטומט,,"30,000 ₪"
3267,רמלה,פרטית,,15,,1,לא,לא,קאדילק XT5,בנזין,1997,אפור מטאלי,"18,000",2021,01/2021,אוטומט,,"295,000 ₪"
3268,נהריה,פרטית,פרטית,3,01/2022,2,לא,לא,יונדאי סונטה הייבריד,בנזין,1999,שחור,"80,000",2018,01/2018,אוטומט,,"115,000 ₪"
3269,חיפה,פרטית,פרטית,NaN,06/2022,2,לא,לא,מאזדה 323 לאנטיס,בנזין,1598,ירוק בקבוק,"179,000",2000,10/2000,אוטומט,,"5,000 ₪"
3270,ג'וליס,פרטית,פרטית,7,,2,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,כסוף מטאלי,"160,000",2018,08/2018,אוטומט,,"84,000 ₪"
3271,ראש העין,פרטית,פרטית,9,03/2022,2,לא,לא,סוזוקי ספלאש,בנזין,1242,לבן מטאלי,"68,000",2014,03/2014,אוטומט,,"35,000 ₪"
3272,ג'דידה מכר,פרטית,פרטית,14,08/2022,3,כן,לא,פולקסווגן גולף GTI,בנזין,1984,לבן,"80,000",2015,08/2015,אוטומט,מדיין חלבי,לא צוין מחיר
3273,מודיעין מכבים רעות,פרטית,,14,12/2022,1,לא,לא,וולוו V40 קרוס קאנטרי,בנזין,1969,שחור,"42,800",2019,01/2019,אוטומט,,"147,000 ₪"
3274,שפרעם,פרטית,פרטית,14,12/2022,3,לא,לא,סקודה אוקטביה,בנזין,1197,כסף מטלי,"134,000",2011,12/2011,אוטומט,,"30,000 ₪"
3275,גן יבנה,פרטית,,3,03/2022,1,לא,כן,טויוטה C-HR,בנזין,1798,אפור מטאלי,"33,000",2018,03/2018,אוטומט,,"120,000 ₪"
3276,חיפה,פרטית,פרטית,12,01/2023,2,לא,לא,ניסאן קשקאי,בנזין,1197,לבן פנינה,"71,754",2018,01/2018,אוטומט,,לא צוין מחיר
3277,רמת ישי,פרטית,פרטית,13,,2,לא,לא,פיאט פונטו איבו (דור III מתיחת פנים),בנזין,1368,לבן,"75,000",2011,,ידנית,,"17,000 ₪"
3278,ראשון לציון,פרטית,,NaN,,0,כן,לא,מרצדס E-Class,היברידי חשמל / בנזין,1991,שחור,,2021,,אוטומט,א.מ.מ משלי רכבי יוקרה,"384,900 ₪"
3279,ראשון לציון,פרטית,,13,04/2022,1,כן,לא,קיה סיד / CEED,דיזל,1582,לבן,"55,000",2016,04/2016,אוטומט,"קליק טרייד רכב בע""מ","52,000 ₪"
3280,נתניה,פרטית,ליסינג,14,12/2021,2,כן,לא,סקודה ראפיד,בנזין,1395,אפור עכבר,"160,000",2015,11/2015,אוטומט,בונים הצלחות,650 ₪ לחודש
3281,ירושלים,פרטית,ליסינג,11,08/2022,2,כן,לא,טויוטה קורולה,בנזין,1598,שחור מטאלי,"89,000",2018,08/2018,אוטומט,ישראל דניאל,"85,000 ₪"
3282,חיפה,פרטית,ליסינג,15,02/2022,3,כן,לא,סקודה אוקטביה,בנזין,1197,שחור,"149,000",2014,02/2014,אוטומט,רכב קליל,"48,500 ₪"
3283,רמלה,פרטית,ליסינג,13,06/2022,2,לא,לא,קיה סיד / CEED,בנזין,1591,אפור עכבר,"143,000",2017,06/2017,אוטומט,דיל הרכב,"49,000 ₪"
3284,ראשון לציון,פרטית,ליסינג,14,12/2021,2,כן,לא,סיטרואן C4 פיקאסו,בנזין,1598,תכלת,"109,000",2015,06/2015,אוטומט,"קליק טרייד רכב בע""מ","41,900 ₪"
3285,רמת גן,פרטית,פרטית,6,05/2022,2,כן,לא,רנו מגאן גראנד קופה,דיזל,1461,כסוף מטאלי,"7,000",2021,05/2021,אוטומט,שקד טרייד אין,"129,900 ₪"
3286,חולון,פרטית,פרטית,11,07/2022,2,לא,לא,מאזדה 3,בנזין,1998,כסוף,"18,000",2020,07/2020,אוטומט,מרכז הרכב - חולון,"110,000 ₪"
3287,ראשון לציון,ייבוא מקביל,,2,,0,כן,לא,מרצדס A-Class,היברידי חשמל / בנזין,1332,לבן,,2022,,אוטומט,יהלומים על הכביש,"265,000 ₪"
3288,חיפה,פרטית,פרטית,14,01/2022,2,כן,לא,אאודי A6,בנזין,1798,לבן מטאלי,"56,000",2019,01/2019,אוטומט,טרייד קאר,"182,000 ₪"
3289,חיפה,פרטית,,4,04/2022,1,כן,לא,סוזוקי בלנו,בנזין,1242,אפור מטאלי,"30,000",2020,04/2020,אוטומט,טרייד קאר,"75,000 ₪"
3290,הרצליה,פרטית,,1,,0,לא,לא,אאודי E-tron GT,חשמלי,,אפור מטאלי,,2021,,אוטומט,בוואריאן מוטורס,לא צוין מחיר
3291,ראשון לציון,פרטית,פרטית,14,10/2021,2,כן,לא,די.אס / DS DS5,בנזין,1598,אפור,"62,000",2017,09/2017,אוטומט,"קליק טרייד רכב בע""מ","79,900 ₪"
3292,פתח תקווה,פרטית,,3,02/2022,1,כן,לא,טויוטה C-HR,בנזין,1798,בורדו מטאלי,"20,000",2018,02/2018,אוטומט,micael cars,"120,000 ₪"
3293,טבריה,פרטית,ליסינג,15,02/2022,6,כן,לא,קרייזלר גראנד וויאג'ר,בנזין,3778,כסף מטלי,"220,000",2011,02/2011,אוטומט,טרנד קאר,"45,000 ₪"
3294,עפולה,פרטית,פרטית,13,04/2022,3,כן,לא,קיה פורטה,בנזין,1591,שחור מטאלי,"190,000",2013,04/2013,אוטומט,אביחי ביתן רכב הצפון,"36,000 ₪"
3295,ראשון לציון,פרטית,פרטית,15,05/2022,2,כן,לא,קאדילק CTS,בנזין,1998,כסף מטלי,"46,000",2017,05/2017,אוטומט,א.מ.מ משלי רכבי יוקרה,לא צוין מחיר
3296,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,ג'יפ / Jeep רנגלר ארוך,בנזין,3604,חום מטאלי,"45,000",2019,07/2019,אוטומט,,"310,000 ₪"
3297,ירושלים,פרטית,,15,11/2022,1,לא,לא,טויוטה אוונסיס,בנזין,1998,אפור מטאלי,"185,750",2006,,אוטומט,,"12,000 ₪"
3298,רחובות,פרטית,פרטית,NaN,12/2022,4,לא,לא,סוזוקי איגניס,בנזין,1328,אפור,"203,360",2002,,אוטומט,,"5,950 ₪"
3299,גבעתיים,פרטית,פרטית,12,07/2022,3,כן,לא,אאודי A1,בנזין,1390,קרם,"158,000",2011,11/2011,אוטומט,,"40,700 ₪"
3300,קרית עקרון,פרטית,פרטית,15,09/2022,3,כן,לא,פורד S-מקס,בנזין,1999,כחול כהה מטאלי,"110,000",2013,08/2013,אוטומט,,"30,000 ₪"
3301,רמלה,פרטית,,15,,1,לא,לא,קאדילק XT5,בנזין,1997,אפור מטאלי,"18,000",2021,01/2021,אוטומט,,"295,000 ₪"
3302,נהריה,פרטית,פרטית,3,01/2022,2,לא,לא,יונדאי סונטה הייבריד,בנזין,1999,שחור,"80,000",2018,01/2018,אוטומט,,"115,000 ₪"
3303,חיפה,פרטית,פרטית,NaN,06/2022,2,לא,לא,מאזדה 323 לאנטיס,בנזין,1598,ירוק בקבוק,"179,000",2000,10/2000,אוטומט,,"5,000 ₪"
3304,ג'וליס,פרטית,פרטית,7,,2,לא,לא,רנו מגאן גראנד קופה,דיזל,1461,כסוף מטאלי,"160,000",2018,08/2018,אוטומט,,"84,000 ₪"
3305,ראש העין,פרטית,פרטית,9,03/2022,2,לא,לא,סוזוקי ספלאש,בנזין,1242,לבן מטאלי,"68,000",2014,03/2014,אוטומט,,"35,000 ₪"
3306,שפרעם,פרטית,פרטית,14,12/2022,3,לא,לא,סקודה אוקטביה,בנזין,1197,כסף מטלי,"134,000",2011,12/2011,אוטומט,,"30,000 ₪"
3307,גן יבנה,פרטית,,3,03/2022,1,לא,כן,טויוטה C-HR,בנזין,1798,אפור מטאלי,"33,000",2018,03/2018,אוטומט,,"120,000 ₪"
3308,חיפה,פרטית,פרטית,12,01/2023,2,לא,לא,ניסאן קשקאי,בנזין,1197,לבן פנינה,"71,754",2018,01/2018,אוטומט,,לא צוין מחיר
3309,ראשון לציון,ליסינג,,15,08/2022,1,לא,לא,קיה סורנטו,דיזל,2199,לבן,"99,900",2018,08/2018,אוטומט,OTO-שירות ומכירת רכב,"189,900 ₪"
3310,רמת ישי,פרטית,פרטית,13,,2,לא,לא,פיאט פונטו איבו (דור III מתיחת פנים),בנזין,1368,לבן,"75,000",2011,,ידנית,,"17,000 ₪"
3311,הוד השרון,פרטית,ליסינג,13,07/2022,2,לא,לא,יונדאי אלנטרה (2016 ואילך),בנזין,1591,אפור מטאלי,"148,000",2016,07/2016,אוטומט,,"60,000 ₪"
3312,חיפה,פרטית,פרטית,13,03/2022,2,לא,לא,אאודי A4,בנזין,1798,לבן,"180,000",2016,01/2016,אוטומט,,"75,000 ₪"
3313,קרית יערים,פרטית,פרטית,NaN,,4,לא,לא,סקודה פאביה,בנזין,1390,צהוב,"360,000",2006,,ידנית,,"6,000 ₪"
3314,שדרות,פרטית,,7,10/2022,1,לא,לא,ניסאן קשקאי,דיזל,1461,לבן מטאלי,"34,000",2019,10/2019,אוטומט,,"130,000 ₪"
3315,חיפה,פרטית,פרטית,14,01/2022,2,כן,לא,אאודי A6,בנזין,1798,לבן מטאלי,"56,000",2019,01/2019,אוטומט,טרייד קאר,"182,000 ₪"
3316,הרצליה,פרטית,,1,,0,לא,לא,אאודי E-tron GT,חשמלי,,אפור מטאלי,,2021,,אוטומט,בוואריאן מוטורס,לא צוין מחיר
3317,ראשון לציון,פרטית,פרטית,14,10/2021,2,כן,לא,די.אס / DS DS5,בנזין,1598,אפור,"62,000",2017,09/2017,אוטומט,"קליק טרייד רכב בע""מ","79,900 ₪"
3318,פתח תקווה,פרטית,,3,02/2022,1,כן,לא,טויוטה C-HR,בנזין,1798,בורדו מטאלי,"20,000",2018,02/2018,אוטומט,micael cars,"120,000 ₪"
3319,טבריה,פרטית,ליסינג,15,02/2022,6,כן,לא,קרייזלר גראנד וויאג'ר,בנזין,3778,כסף מטלי,"220,000",2011,02/2011,אוטומט,טרנד קאר,"45,000 ₪"
3320,עפולה,פרטית,פרטית,13,04/2022,3,כן,לא,קיה פורטה,בנזין,1591,שחור מטאלי,"190,000",2013,04/2013,אוטומט,אביחי ביתן רכב הצפון,"36,000 ₪"
3321,ראשון לציון,פרטית,פרטית,15,05/2022,2,כן,לא,קאדילק CTS,בנזין,1998,כסף מטלי,"46,000",2017,05/2017,אוטומט,א.מ.מ משלי רכבי יוקרה,לא צוין מחיר
3322,נתניה,פרטית,ליסינג,12,11/2022,4,לא,לא,קיה ריו,בנזין,1396,לבן פנינה,"83,000",2013,10/2013,אוטומט,בונים הצלחות,780 ₪ לחודש
3323,ראשון לציון,פרטית,ליסינג,8,04/2022,2,לא,לא,יונדאי i20,בנזין,1396,כסוף,"139,000",2014,04/2014,אוטומט,גמרו מוטורס,"36,000 ₪"
3324,נצרת עילית / נוף הגליל,פרטית,פרטית,14,05/2022,2,לא,לא,ב.מ.וו סדרה 3,בנזין,1997,לבן,"156,600",2014,05/2014,אוטומט,רכב עבוד,"80,000 ₪"
3325,תל אביב יפו,ייבוא מקביל,,1,,0,לא,לא,פורשה טייקן,חשמלי,,לבן מטאלי,,2022,,אוטומט,קליפורניה מוטורס,"775,000 ₪"
3326,חיפה,פרטית,פרטית,15,01/2022,2,כן,לא,אאודי Q5,בנזין,1984,לבן פנינה,"109,000",2018,01/2018,אוטומט,אמ בי מוטורס,"219,999 ₪"
3327,ראשון לציון,פרטית,,14,01/2022,0,כן,לא,מרצדס GLC-Class קופה,בנזין,1991,לבן מטאלי,,2021,01/2021,אוטומט,WinCar,"469,000 ₪"
3328,חולון,פרטית,,4,02/2022,1,כן,לא,רנו מגאן גראנד קופה,טורבו דיזל,1461,כסוף,"73,000",2019,02/2019,אוטומט,מרכז הרכב - חולון,"82,000 ₪"
3329,תל אביב יפו,ייבוא מקביל,,15,,0,לא,לא,ב.מ.וו סדרה 8,בנזין,4395,שחור,,2022,,אוטומט,קליפורניה מוטורס,"950,000 ₪"
3330,תל אביב יפו,פרטית,פרטית,15,,2,לא,לא,מרצדס GLA,בנזין,1595,לבן מטאלי,"59,000",2018,01/2018,אוטומט,א. קאר,"180,000 ₪"
3331,כפר כנא,פרטית,,10,04/2023,1,לא,לא,פולקסווגן T- Roc,בנזין,1498,לבן שנהב,"20,000",2021,04/2021,אוטומט,ProDrive,"185,000 ₪"
3332,פתח תקווה,פרטית,פרטית,15,11/2022,2,כן,לא,סובארו B3 האצ'בק,בנזין,1498,לבן פנינה,"152,000",2009,11/2009,אוטומט,חיים,לא צוין מחיר
3333,מודיעין מכבים רעות,פרטית,פרטית,13,10/2022,2,לא,לא,שברולט מאליבו,בנזין,1490,כחול כהה מטאלי,"93,000",2016,10/2016,אוטומט,,"60,000 ₪"
3334,ראשון לציון,פרטית,פרטית,11,01/2022,2,לא,לא,מאזדה 3,בנזין,1998,לבן פנינה,"15,000",2021,01/2021,אוטומט,,"137,000 ₪"
3335,ירושלים,פרטית,ליסינג,NaN,08/2022,3,לא,לא,סוזוקי ליאנה,בנזין,1586,לבן פנינה,"170,000",2006,08/2006,אוטומט,,"5,600 ₪"
3336,יבנה,פרטית,פרטית,11,06/2022,4,לא,לא,סיאט איביזה,בנזין,1197,לבן,"157,000",2013,,אוטומט,,"37,000 ₪"
3337,חדרה,פרטית,,1,12/2024,1,לא,לא,טסלה מודל 3,חשמלי,,לבן פנינה,800,2021,12/2021,אוטומט,,"210,000 ₪"
3338,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,סיטרואן C4,בנזין,1598,לבן,"71,000",2012,07/2012,אוטומט,,"22,000 ₪"
3339,חיפה,פרטית,פרטית,15,07/2022,3,לא,לא,ג'יפ / Jeep רנגלר ארוך,בנזין,3604,חום מטאלי,"45,000",2019,07/2019,אוטומט,,"310,000 ₪"
3340,ירושלים,פרטית,,15,11/2022,1,לא,לא,טויוטה אוונסיס,בנזין,1998,אפור מטאלי,"185,750",2006,,אוטומט,,"12,000 ₪"
3341,רחובות,פרטית,פרטית,NaN,12/2022,4,לא,לא,סוזוקי איגניס,בנזין,1328,אפור,"203,360",2002,,אוטומט,,"5,950 ₪"
3342,גבעתיים,פרטית,פרטית,12,07/2022,3,כן,לא,אאודי A1,בנזין,1390,קרם,"158,000",2011,11/2011,אוטומט,,"40,700 ₪"
3343,קרית עקרון,פרטית,פרטית,15,09/2022,3,כן,לא,פורד S-מקס,בנזין,1999,כחול כהה מטאלי,"110,000",2013,08/2013,אוטומט,,"30,000 ₪"
